time_s,"state:p_n","state:p_e","state:p_d","state:u","state:v","state:w","state:q_w","state:q_x","state:q_y","state:q_z","state:p","state:q","state:r","state:omega_0","state:omega_1","state:omega_2","state:omega_3","command:omega_command_0_rad_s","command:omega_command_1_rad_s","command:omega_command_2_rad_s","command:omega_command_3_rad_s","wind:north_m_s","wind:east_m_s","wind:down_m_s"
0.59999999999999998,0.068497994869494802,3.9907180873444811e-19,-100.02712425118632,0.59404510137571642,3.6941525460728896e-18,-0.41113051195670397,0.95577839033804168,1.0567167923519006e-18,-0.29408785857770825,-1.5608265415511292e-19,3.0319423131173105e-18,-3.2251365937740175,-2.3243937499686828e-35,610.00023916320481,659.99969514647057,659.99969514647057,610.00023916320481,660,610,610,660,0,0,0
0.62,0.084101570920524657,4.8167805370724082e-19,-100.0269250310938,0.6787643779901954,4.0949517837798855e-18,-0.49501999529427571,0.94561258530444736,1.0615637591971829e-18,-0.32529500228844488,-1.8752506680105963e-19,-1.8800837669842796e-19,-3.3134473676393328,-1.7867496879987343e-35,631.76420372659902,638.23575917685093,638.23575917685093,631.76420372659902,660,610,610,660,0,0,0
0.64000000000000001,0.10215196501107124,5.7178263679452799e-19,-100.02597637045908,0.76733961413560714,4.4503799985647411e-18,-0.59254987180619523,0.9343459121273231,1.1075853928738249e-18,-0.35636738976926674,-2.0384400002174461e-19,9.4563643258441883e-18,-3.2826144942441928,-2.2472398692967556e-35,644.05471990565422,625.94525914523297,625.94525914523297,644.05471990565422,660,610,610,660,0,0,0
0.65999999999999992,0.12284709939133653,6.6952046448885463e-19,-100.02410863349692,0.85932597926948162,4.7101724722476909e-18,-0.7032792185553608,0.92231996379827264,1.2304048677606344e-18,-0.38642707511140184,-1.890065770504175e-19,2.2304251085008794e-17,-3.184639214272269,-2.3969487066921825e-35,650.99540332331082,619.00458484633498,619.00458484633498,650.99540332331082,660,610,610,660,0,0,0
0.67999999999999994,0.1463697395934736,7.7580831797034336e-19,-100.021144089307,0.95412011601692048,4.7320377106534095e-18,-0.82653419305720432,0.90982034791136157,1.518344142628698e-18,-0.41500233074821286,-1.0384643642510428e-19,2.8684795129190725e-17,-3.0488873545419142,-2.0873871916244795e-35,654.91493653105579,615.08505678812287,615.08505678812287,654.91493653105579,660,610,610,660,0,0,0
0.69999999999999996,0.17288355890688983,8.926134000977578e-19,-100.01690035007439,1.0511338014374452,4.9550401416252082e-18,-0.96150761238462867,0.89708779277971795,1.6996067382523038e-18,-0.44185234190350725,-6.5516030156307074e-20,1.577734421709857e-17,-2.8919421016015612,-2.9244907949862443e-35,657.12836994130657,612.87162628590909,612.87162628590909,657.12836994130657,660,610,610,660,0,0,0
0.71999999999999997,0.20253206498477139,1.0212779846472255e-18,-100.01119409295423,1.1498900832985566,5.3060687188981851e-18,-1.1072858889992676,0.88432727832780289,1.8156877302486113e-18,-0.46686750240870334,-5.5531263616859317e-20,1.2536368525050453e-17,-2.7231680470892465,-3.1588585495590259e-35,658.37833701696081,611.62166085247759,611.62166085247759,658.37833701696081,660,610,610,660,0,0,0
0.73999999999999999,0.23543892956874224,1.16237776585372e-18,-100.00384429807795,1.2500753741644577,5.770198420336673e-18,-1.2628619961096399,0.87171531924549583,1.8788199206489405e-18,-0.49001265513527631,-6.8827382345247129e-20,-3.4861954832892889e-19,-2.5478533079730905,-2.772372899963723e-35,659.0842167073024,610.91578208952967,610.91578208952967,659.0842167073024,660,610,610,660,0,0,0
0.76000000000000001,0.27170901935080688,1.3161036510743944e-18,-99.994674910247426,1.351564903240519,6.3661469788464673e-18,-1.4271480178352138,0.85940547782465082,1.8962318026640939e-18,-0.51129465544339858,-1.0465379794427307e-19,-3.5248326909906703e-19,-2.368983940437245,-2.701541273507543e-35,659.48284011662395,610.51715920392485,610.51715920392485,659.48284011662395,660,610,610,660,0,0,0
0.78000000000000003,0.31142977318495069,1.4821613614043296e-18,-99.983516994613311,1.4544311369951859,7.3956662552006377e-18,-1.5989885708257903,0.84753238131030739,1.7857904341158669e-18,-0.53074368826249818,-2.1293014355656987e-19,-2.28568804764078e-17,-2.188245984472998,-2.2967084813055907e-35,659.70795018089302,610.29204943540833,610.29204943540833,659.70795018089302,660,610,610,660,0,0,0
0.80000000000000004,0.35467273643319303,1.6590952220292586e-18,-99.970210476194424,1.5589408619545648,8.8156786514559818e-18,-1.7771736955958275,0.83621459465425685,1.5765335248703348e-18,-0.5484023629482434,-3.7841917457625306e-19,-2.6032964988999905e-17,-2.0065913371294615,-1.3003529061087419e-35,659.83507402723569,610.16492575608254,610.16492575608254,659.83507402723569,660,610,610,660,0,0,0
0.81999999999999995,0.40149514546783699,1.8445836418779482e-18,-99.954605539572668,1.6655445290716067,1.0594203772822681e-17,-1.960449726886454,0.82555667323528426,1.2980418794085603e-18,-0.56431921753267456,-5.8694643810731879e-19,-4.5284768791620693e-17,-1.8245573116797669,-3.7428123663102888e-35,659.90686323115892,610.09313664647675,610.09313664647675,659.90686323115892,660,610,610,660,0,0,0
0.83999999999999997,0.4519414980825916,2.0356058884724013e-18,-99.93656374864608,1.7748602521072898,1.3252380638311821e-17,-2.1475271328872214,0.81565065210224019,8.5630289566278783e-19,-0.57854473787702043,-9.0544045637596005e-19,-6.4501998448095201e-17,-1.6424470986344293,-4.0433468005723584e-35,659.94740393180803,610.05259599909073,610.05259599909073,659.94740393180803,660,610,610,660,0,0,0
0.85999999999999999,0.50604506894996393,2.2278172114719034e-18,-99.915958933495318,1.887654096427352,1.5684732192775031e-17,-2.3370848121020331,0.8065771564561578,4.7325254420162122e-19,-0.59112882748441475,-1.1788573556394409e-18,-1.6152915244866129e-17,-1.4604316754364528,-4.3440633632494992e-35,659.97029802060263,610.02970194037459,610.02970194037459,659.97029802060263,660,610,610,660,0,0,0
